CustomerID,Recency,Frequency,Monetary,TotalItems,UniqueProducts,Country,AvgOrderValue,ItemsPerOrder
12347.0,96,7,3412.53,1905,97,Iceland,487.50428571428574,272.14285714285717
12348.0,221,3,90.2,140,6,Finland,30.066666666666666,46.666666666666664
12349.0,698,1,1197.15,547,64,Italy,1197.15,547.0
12350.0,312,1,294.4,196,16,Norway,294.4,196.0
12352.0,275,7,1147.44,502,50,Norway,163.92000000000002,71.71428571428571
12353.0,698,1,29.300000000000004,14,2,Bahrain,29.300000000000004,14.0
12354.0,698,1,763.39,389,45,Spain,763.39,389.0
12355.0,97,1,219.0,80,9,Bahrain,219.0,80.0
12356.0,129,2,1086.56,548,33,Portugal,543.28,274.0
12357.0,183,1,3410.81,1603,97,Switzerland,3410.81,1603.0
12358.0,4,2,894.1200000000001,204,10,Austria,447.06000000000006,102.0
12359.0,10,4,3579.78,1476,175,Cyprus,894.945,369.0
12360.0,698,3,1890.8600000000001,1094,99,Austria,630.2866666666667,364.6666666666667
12361.0,698,1,174.9,90,9,Belgium,174.9,90.0
12362.0,31,10,4315.72,2062,182,Belgium,431.572,206.2
12363.0,37,2,532.2,372,22,Unspecified,266.1,186.0
12364.0,302,3,1106.28,1281,67,Belgium,368.76,427.0
12365.0,698,1,307.94,172,20,Cyprus,307.94,172.0
12367.0,213,1,138.3,112,9,Denmark,138.3,112.0
12370.0,69,4,2598.66,1333,129,Cyprus,649.665,333.25
12371.0,31,1,1300.46,508,58,Switzerland,1300.46,508.0
12372.0,36,3,1017.84,680,33,Denmark,339.28000000000003,226.66666666666666
12373.0,343,1,299.1,166,12,Austria,299.1,166.0
12374.0,698,1,563.53,335,30,Austria,563.53,335.0
12375.0,305,2,315.1,146,13,Finland,157.55,73.0
12377.0,698,2,1488.42,936,70,Switzerland,744.21,468.0
12378.0,306,1,3603.94,2079,205,Switzerland,3603.94,2079.0
12379.0,698,2,736.44,354,37,Belgium,368.22,177.0
12380.0,158,4,1787.15,884,71,Belgium,446.7875,221.0
12381.0,1,5,1253.46,742,63,Norway,250.692,148.4
12383.0,10,5,1211.84,1033,73,Belgium,242.368,206.6
12384.0,30,2,351.72,115,21,Switzerland,175.86,57.5
12386.0,486,1,215.7,94,7,Australia,215.7,94.0
12388.0,99,6,2466.7000000000003,1094,54,Australia,411.11666666666673,182.33333333333334
12390.0,698,1,407.74,308,26,Belgium,407.74,308.0
12391.0,698,1,412.76,291,90,Cyprus,412.76,291.0
12393.0,40,4,1193.5,618,45,Australia,298.375,154.5
12394.0,189,1,331.18,178,19,Belgium,331.18,178.0
12395.0,6,12,1844.57,1191,75,Belgium,153.71416666666667,99.25
12397.0,244,2,1736.51,1141,97,Belgium,868.255,570.5
12398.0,698,1,1397.1399999999999,1317,82,Switzerland,1397.1399999999999,1317.0
12399.0,3,4,729.15,699,42,Belgium,182.2875,174.75
12401.0,100,1,32.85,7,2,Belgium,32.85,7.0
12402.0,698,1,195.6,92,10,Belgium,195.6,92.0
12403.0,698,1,92.9,22,2,Denmark,92.9,22.0
12405.0,698,1,1232.0700000000002,509,44,Finland,1232.0700000000002,509.0
12406.0,96,2,2871.78,1514,85,Denmark,1435.89,757.0
12407.0,187,5,1085.01,850,48,Belgium,217.002,170.0
12408.0,153,5,1885.37,1057,75,Belgium,377.07399999999996,211.4
12409.0,66,3,2134.59,533,28,Switzerland,711.5300000000001,177.66666666666666
12410.0,253,1,337.83,185,16,Switzerland,337.83,185.0
12412.0,698,3,1115.04,728,41,Denmark,371.68,242.66666666666666
12413.0,193,3,609.4,276,25,France,203.13333333333333,92.0
12414.0,189,3,343.65,165,12,Austria,114.55,55.0
12415.0,193,11,4794.36,1296,110,Australia,435.85090909090906,117.81818181818181
12417.0,182,9,2289.3,1275,131,Belgium,254.36666666666667,141.66666666666666
12418.0,698,1,481.76,339,29,Switzerland,481.76,339.0
12420.0,154,1,443.90000000000003,190,22,Cyprus,443.90000000000003,190.0
12421.0,698,4,607.57,429,30,Spain,151.8925,107.25
12422.0,216,3,645.3100000000001,364,37,Australia,215.10333333333335,121.33333333333333
12423.0,90,8,1568.01,1319,92,Belgium,196.00125,164.875
12424.0,698,2,703.72,256,21,Australia,351.86,128.0
12425.0,698,1,538.14,324,30,Portugal,538.14,324.0
12426.0,698,1,493.78000000000003,253,28,Germany,493.78000000000003,253.0
12427.0,62,3,503.32,222,23,Germany,167.77333333333334,74.0
12428.0,33,8,5347.03,3024,237,Finland,668.37875,378.0
12429.0,455,4,2672.7400000000002,1142,72,Denmark,668.1850000000001,285.5
12430.0,698,1,168.6,112,9,Norway,168.6,112.0
12431.0,3,14,4232.95,1813,149,Australia,302.3535714285714,129.5
12432.0,698,4,2408.58,830,80,Norway,602.145,207.5
12433.0,90,7,8108.77,4569,187,Norway,1158.3957142857143,652.7142857142857
12434.0,698,2,786.24,392,45,Australia,393.12,196.0
12435.0,698,1,78.0,40,2,Denmark,78.0,40.0
12436.0,336,1,429.01000000000005,209,15,Norway,429.01000000000005,209.0
12437.0,10,18,2793.54,2005,105,France,155.19666666666666,111.38888888888889
12438.0,698,2,2112.82,980,73,Norway,1056.41,490.0
12441.0,486,1,155.55,120,10,France,155.55,120.0
12442.0,182,1,144.06,181,11,Spain,144.06,181.0
12444.0,1,5,2478.96,992,116,Norway,495.79200000000003,198.4
12445.0,698,1,77.4,60,3,Spain,77.4,60.0
12446.0,698,1,783.86,333,49,RSA,783.86,333.0
12447.0,68,1,411.59,185,24,Belgium,411.59,185.0
12448.0,698,1,300.45,239,20,Spain,300.45,239.0
12449.0,93,4,2781.54,1428,106,Belgium,695.385,357.0
12450.0,187,2,131.88,88,7,Spain,65.94,44.0
12451.0,215,5,6061.49,4090,232,Switzerland,1212.298,818.0
12452.0,698,1,333.57,181,20,Switzerland,333.57,181.0
12453.0,698,1,707.09,473,43,Austria,707.09,473.0
12454.0,698,1,164.20000000000002,28,2,Spain,164.20000000000002,28.0
12455.0,187,5,1201.8600000000001,796,65,Cyprus,240.372,159.2
12456.0,698,3,1925.44,1210,96,Switzerland,641.8133333333334,403.3333333333333
12457.0,698,2,1020.13,492,44,Switzerland,510.065,246.0
12458.0,698,2,612.38,358,30,Switzerland,306.19,179.0
12461.0,126,1,609.88,280,33,Switzerland,609.88,280.0
12462.0,100,2,705.5,412,41,Spain,352.75,206.0
12463.0,7,4,1155.38,764,62,Belgium,288.845,191.0
12464.0,284,4,76.5,30,1,Belgium,19.125,7.5
12465.0,698,2,621.49,425,43,Belgium,310.745,212.5
12468.0,219,2,575.99,321,32,Germany,287.995,160.5
12471.0,152,26,8811.68,4849,135,Germany,338.91076923076923,186.5
12472.0,153,7,5146.83,3730,211,Germany,735.2614285714286,532.8571428571429
12473.0,339,3,2272.5299999999997,1824,125,Germany,757.5099999999999,608.0
12474.0,4,18,6115.2,4335,236,Germany,339.73333333333335,240.83333333333334
12475.0,698,1,609.64,330,32,Germany,609.64,330.0
12476.0,698,10,3971.13,1869,151,Germany,397.113,186.9
12477.0,39,6,8353.94,2446,170,Germany,1392.3233333333335,407.6666666666667
12478.0,182,1,511.99,229,34,Greece,511.99,229.0
12479.0,698,1,426.35,377,28,Germany,426.35,377.0
12480.0,30,4,2314.64,1302,121,Germany,578.66,325.5
12481.0,163,10,3445.7,2424,125,Germany,344.57,242.4
12483.0,36,7,1486.54,806,42,Sweden,212.36285714285714,115.14285714285714
12484.0,163,4,3394.73,1945,238,Spain,848.6825,486.25
12488.0,698,3,1015.76,480,43,France,338.58666666666664,160.0
12489.0,163,1,207.33,95,11,France,207.33,95.0
12490.0,97,10,4290.71,2665,124,France,429.071,266.5
12491.0,334,1,350.75,183,23,France,350.75,183.0
12492.0,154,2,227.21,190,18,Germany,113.605,95.0
12493.0,698,2,332.91,167,16,France,166.455,83.5
12494.0,338,7,951.75,685,59,France,135.96428571428572,97.85714285714286
12497.0,698,1,20.4,24,1,Germany,20.4,24.0
12498.0,698,3,349.70000000000005,156,20,Germany,116.56666666666668,52.0
12500.0,71,8,529.69,223,25,Germany,66.21125,27.875
12501.0,163,1,1882.56,1620,139,Germany,1882.56,1620.0
12502.0,189,5,1895.32,654,82,Spain,379.06399999999996,130.8
12504.0,91,1,60.0,48,2,Germany,60.0,48.0
12506.0,698,1,73.5,23,23,France,73.5,23.0
12507.0,157,3,388.75,190,11,Spain,129.58333333333334,63.333333333333336
12508.0,61,2,397.88,271,57,France,198.94,135.5
12509.0,698,1,124.5,50,5,France,124.5,50.0
12510.0,698,2,651.85,299,28,Spain,325.925,149.5
12512.0,245,2,132.18,96,31,Israel,66.09,48.0
12513.0,698,1,520.04,456,33,France,520.04,456.0
12514.0,698,1,827.38,422,46,Italy,827.38,422.0
12515.0,698,1,190.8,120,11,Italy,190.8,120.0
12516.0,5,2,270.48,186,10,Germany,135.24,93.0
12517.0,30,4,2274.65,1348,229,Germany,568.6625,337.0
12518.0,1,5,1750.09,1296,80,Germany,350.018,259.2
12519.0,154,1,242.84,168,15,Germany,242.84,168.0
12520.0,38,5,2094.56,1401,115,Germany,418.912,280.2
12521.0,698,1,530.73,305,36,Germany,530.73,305.0
12522.0,698,2,152.72,92,9,Germany,76.36,46.0
12523.0,10,11,1359.6100000000001,783,66,France,123.6009090909091,71.18181818181819
12524.0,71,8,1735.71,1256,77,Germany,216.96375,157.0
12526.0,90,3,1122.16,620,61,Germany,374.05333333333334,206.66666666666666
12527.0,698,3,296.71000000000004,229,16,Germany,98.90333333333335,76.33333333333333
12528.0,130,6,1219.43,701,39,Germany,203.23833333333334,116.83333333333333
12530.0,31,4,1099.1200000000001,572,45,Germany,274.78000000000003,143.0
12531.0,698,1,95.27,44,16,Germany,95.27,44.0
12532.0,91,1,313.83000000000004,151,15,France,313.83000000000004,151.0
12534.0,337,1,877.03,636,58,Germany,877.03,636.0
12535.0,93,2,593.75,205,23,France,296.875,102.5
12536.0,31,1,3774.27,2529,237,France,3774.27,2529.0
12538.0,61,1,324.15,187,20,Spain,324.15,187.0
12539.0,71,4,4285.900000000001,1966,140,Spain,1071.4750000000001,491.5
12540.0,40,17,8169.12,5366,246,Spain,480.53647058823526,315.6470588235294
12541.0,61,3,785.58,637,44,Spain,261.86,212.33333333333334
12544.0,275,1,316.7,134,18,Spain,316.7,134.0
12545.0,698,2,731.8,472,36,Spain,365.9,236.0
12546.0,698,2,986.08,530,56,Spain,493.04,265.0
12547.0,252,2,151.79999999999998,132,6,Spain,75.89999999999999,66.0
12548.0,698,1,67.19999999999999,48,4,Spain,67.19999999999999,48.0
12550.0,698,1,814.88,563,55,Spain,814.88,563.0
12551.0,698,1,168.0,100,10,Spain,168.0,100.0
12552.0,698,1,214.97,76,11,Italy,214.97,76.0
12553.0,1,10,2949.6,1673,88,France,294.96,167.3
12556.0,34,2,553.41,351,96,Spain,276.705,175.5
12558.0,302,1,195.08,160,10,USA,195.08,160.0
12559.0,698,1,301.41,205,16,Germany,301.41,205.0
12560.0,243,2,1826.26,1045,86,Germany,913.13,522.5
12561.0,70,1,238.85,177,16,Germany,238.85,177.0
12562.0,217,7,2765.34,1503,92,France,395.04857142857145,214.71428571428572
12564.0,698,1,352.05,127,18,France,352.05,127.0
12565.0,698,1,145.92,80,9,Saudi Arabia,145.92,80.0
12566.0,698,1,222.13,208,14,Germany,222.13,208.0
12567.0,127,10,7342.16,3929,297,France,734.216,392.9
12569.0,1,28,2704.69,1573,84,Germany,96.59607142857143,56.17857142857143
12571.0,64,2,489.37,451,29,France,244.685,225.5
12572.0,333,2,700.17,397,48,Germany,350.085,198.5
12573.0,698,1,150.59,83,25,France,150.59,83.0
12574.0,698,1,162.55,57,9,France,162.55,57.0
12576.0,131,5,1225.31,915,67,Poland,245.06199999999998,183.0
12577.0,244,3,595.4,466,136,France,198.46666666666667,155.33333333333334
12578.0,698,2,2306.56,1141,107,Italy,1153.28,570.5
