CustomerID,Recency,Frequency,Monetary,TotalItems,UniqueProducts,Country,AvgOrderValue,ItemsPerOrder,Cluster,Segment
12347.0,96,7,3412.53,1905,97,Iceland,487.50428571428574,272.1428571428572,1,Recent Engaged Customers
12348.0,221,3,90.2,140,6,Finland,30.066666666666663,46.66666666666666,1,Recent Engaged Customers
12349.0,698,1,1197.15,547,64,Italy,1197.15,547.0,0,At-Risk Customers
12350.0,312,1,294.4,196,16,Norway,294.4,196.0,0,At-Risk Customers
12352.0,275,7,1147.44,502,50,Norway,163.92000000000002,71.71428571428571,1,Recent Engaged Customers
12353.0,698,1,29.300000000000004,14,2,Bahrain,29.300000000000004,14.0,0,At-Risk Customers
12354.0,698,1,763.39,389,45,Spain,763.39,389.0,0,At-Risk Customers
12355.0,97,1,219.0,80,9,Bahrain,219.0,80.0,1,Recent Engaged Customers
12356.0,129,2,1086.56,548,33,Portugal,543.28,274.0,1,Recent Engaged Customers
12357.0,183,1,3410.81,1603,97,Switzerland,3410.81,1603.0,1,Recent Engaged Customers
12358.0,4,2,894.1200000000001,204,10,Austria,447.06000000000006,102.0,1,Recent Engaged Customers
12359.0,10,4,3579.78,1476,175,Cyprus,894.945,369.0,1,Recent Engaged Customers
12360.0,698,3,1890.86,1094,99,Austria,630.2866666666667,364.6666666666667,0,At-Risk Customers
12361.0,698,1,174.9,90,9,Belgium,174.9,90.0,0,At-Risk Customers
12362.0,31,10,4315.72,2062,182,Belgium,431.572,206.2,1,Recent Engaged Customers
12363.0,37,2,532.2,372,22,Unspecified,266.1,186.0,1,Recent Engaged Customers
12364.0,302,3,1106.28,1281,67,Belgium,368.76,427.0,0,At-Risk Customers
12365.0,698,1,307.94,172,20,Cyprus,307.94,172.0,0,At-Risk Customers
12367.0,213,1,138.3,112,9,Denmark,138.3,112.0,1,Recent Engaged Customers
12370.0,69,4,2598.66,1333,129,Cyprus,649.665,333.25,1,Recent Engaged Customers
12371.0,31,1,1300.46,508,58,Switzerland,1300.46,508.0,1,Recent Engaged Customers
12372.0,36,3,1017.84,680,33,Denmark,339.28000000000003,226.66666666666663,1,Recent Engaged Customers
12373.0,343,1,299.1,166,12,Austria,299.1,166.0,0,At-Risk Customers
12374.0,698,1,563.53,335,30,Austria,563.53,335.0,0,At-Risk Customers
12375.0,305,2,315.1,146,13,Finland,157.55,73.0,0,At-Risk Customers
12377.0,698,2,1488.42,936,70,Switzerland,744.21,468.0,0,At-Risk Customers
12378.0,306,1,3603.94,2079,205,Switzerland,3603.94,2079.0,0,At-Risk Customers
12379.0,698,2,736.44,354,37,Belgium,368.22,177.0,0,At-Risk Customers
12380.0,158,4,1787.15,884,71,Belgium,446.7875,221.0,1,Recent Engaged Customers
12381.0,1,5,1253.46,742,63,Norway,250.692,148.4,1,Recent Engaged Customers
12383.0,10,5,1211.84,1033,73,Belgium,242.368,206.6,1,Recent Engaged Customers
12384.0,30,2,351.72,115,21,Switzerland,175.86,57.5,1,Recent Engaged Customers
12386.0,486,1,215.7,94,7,Australia,215.7,94.0,0,At-Risk Customers
12388.0,99,6,2466.7000000000003,1094,54,Australia,411.11666666666673,182.33333333333331,1,Recent Engaged Customers
12390.0,698,1,407.74,308,26,Belgium,407.74,308.0,0,At-Risk Customers
12391.0,698,1,412.76,291,90,Cyprus,412.76,291.0,0,At-Risk Customers
12393.0,40,4,1193.5,618,45,Australia,298.375,154.5,1,Recent Engaged Customers
12394.0,189,1,331.18,178,19,Belgium,331.18,178.0,1,Recent Engaged Customers
12395.0,6,12,1844.57,1191,75,Belgium,153.71416666666667,99.25,1,Recent Engaged Customers
12397.0,244,2,1736.51,1141,97,Belgium,868.255,570.5,1,Recent Engaged Customers
12398.0,698,1,1397.14,1317,82,Switzerland,1397.14,1317.0,0,At-Risk Customers
12399.0,3,4,729.15,699,42,Belgium,182.2875,174.75,1,Recent Engaged Customers
12401.0,100,1,32.85,7,2,Belgium,32.85,7.0,1,Recent Engaged Customers
12402.0,698,1,195.6,92,10,Belgium,195.6,92.0,0,At-Risk Customers
12403.0,698,1,92.9,22,2,Denmark,92.9,22.0,0,At-Risk Customers
12405.0,698,1,1232.0700000000002,509,44,Finland,1232.0700000000002,509.0,0,At-Risk Customers
12406.0,96,2,2871.78,1514,85,Denmark,1435.89,757.0,1,Recent Engaged Customers
12407.0,187,5,1085.01,850,48,Belgium,217.002,170.0,1,Recent Engaged Customers
12408.0,153,5,1885.37,1057,75,Belgium,377.074,211.4,1,Recent Engaged Customers
12409.0,66,3,2134.59,533,28,Switzerland,711.5300000000001,177.66666666666666,1,Recent Engaged Customers
12410.0,253,1,337.83,185,16,Switzerland,337.83,185.0,0,At-Risk Customers
12412.0,698,3,1115.04,728,41,Denmark,371.68,242.66666666666663,0,At-Risk Customers
12413.0,193,3,609.4,276,25,France,203.13333333333333,92.0,1,Recent Engaged Customers
12414.0,189,3,343.65,165,12,Austria,114.55,55.0,1,Recent Engaged Customers
12415.0,193,11,4794.36,1296,110,Australia,435.85090909090906,117.8181818181818,1,Recent Engaged Customers
12417.0,182,9,2289.3,1275,131,Belgium,254.36666666666667,141.66666666666666,1,Recent Engaged Customers
12418.0,698,1,481.76,339,29,Switzerland,481.76,339.0,0,At-Risk Customers
12420.0,154,1,443.9,190,22,Cyprus,443.9,190.0,1,Recent Engaged Customers
12421.0,698,4,607.57,429,30,Spain,151.8925,107.25,0,At-Risk Customers
12422.0,216,3,645.3100000000001,364,37,Australia,215.10333333333332,121.33333333333331,1,Recent Engaged Customers
12423.0,90,8,1568.01,1319,92,Belgium,196.00125,164.875,1,Recent Engaged Customers
12424.0,698,2,703.72,256,21,Australia,351.86,128.0,0,At-Risk Customers
12425.0,698,1,538.14,324,30,Portugal,538.14,324.0,0,At-Risk Customers
12426.0,698,1,493.78,253,28,Germany,493.78,253.0,0,At-Risk Customers
12427.0,62,3,503.32,222,23,Germany,167.77333333333334,74.0,1,Recent Engaged Customers
12428.0,33,8,5347.03,3024,237,Finland,668.37875,378.0,1,Recent Engaged Customers
12429.0,455,4,2672.74,1142,72,Denmark,668.1850000000001,285.5,0,At-Risk Customers
12430.0,698,1,168.6,112,9,Norway,168.6,112.0,0,At-Risk Customers
12431.0,3,14,4232.95,1813,149,Australia,302.3535714285714,129.5,1,Recent Engaged Customers
12432.0,698,4,2408.58,830,80,Norway,602.145,207.5,0,At-Risk Customers
12433.0,90,7,8108.77,4569,187,Norway,1158.3957142857143,652.7142857142857,1,Recent Engaged Customers
12434.0,698,2,786.24,392,45,Australia,393.12,196.0,0,At-Risk Customers
12435.0,698,1,78.0,40,2,Denmark,78.0,40.0,0,At-Risk Customers
12436.0,336,1,429.0100000000001,209,15,Norway,429.0100000000001,209.0,0,At-Risk Customers
12437.0,10,18,2793.54,2005,105,France,155.19666666666666,111.38888888888889,1,Recent Engaged Customers
12438.0,698,2,2112.82,980,73,Norway,1056.41,490.0,0,At-Risk Customers
12441.0,486,1,155.55,120,10,France,155.55,120.0,0,At-Risk Customers
12442.0,182,1,144.06,181,11,Spain,144.06,181.0,1,Recent Engaged Customers
12444.0,1,5,2478.96,992,116,Norway,495.792,198.4,1,Recent Engaged Customers
12445.0,698,1,77.4,60,3,Spain,77.4,60.0,0,At-Risk Customers
12446.0,698,1,783.86,333,49,RSA,783.86,333.0,0,At-Risk Customers
12447.0,68,1,411.59,185,24,Belgium,411.59,185.0,1,Recent Engaged Customers
12448.0,698,1,300.45,239,20,Spain,300.45,239.0,0,At-Risk Customers
12449.0,93,4,2781.54,1428,106,Belgium,695.385,357.0,1,Recent Engaged Customers
12450.0,187,2,131.88,88,7,Spain,65.94,44.0,1,Recent Engaged Customers
12451.0,215,5,6061.49,4090,232,Switzerland,1212.298,818.0,1,Recent Engaged Customers
12452.0,698,1,333.57,181,20,Switzerland,333.57,181.0,0,At-Risk Customers
12453.0,698,1,707.09,473,43,Austria,707.09,473.0,0,At-Risk Customers
12454.0,698,1,164.20000000000002,28,2,Spain,164.20000000000002,28.0,0,At-Risk Customers
12455.0,187,5,1201.86,796,65,Cyprus,240.372,159.2,1,Recent Engaged Customers
12456.0,698,3,1925.44,1210,96,Switzerland,641.8133333333334,403.3333333333333,0,At-Risk Customers
12457.0,698,2,1020.13,492,44,Switzerland,510.065,246.0,0,At-Risk Customers
12458.0,698,2,612.38,358,30,Switzerland,306.19,179.0,0,At-Risk Customers
12461.0,126,1,609.88,280,33,Switzerland,609.88,280.0,1,Recent Engaged Customers
12462.0,100,2,705.5,412,41,Spain,352.75,206.0,1,Recent Engaged Customers
12463.0,7,4,1155.38,764,62,Belgium,288.845,191.0,1,Recent Engaged Customers
12464.0,284,4,76.5,30,1,Belgium,19.125,7.5,1,Recent Engaged Customers
12465.0,698,2,621.49,425,43,Belgium,310.745,212.5,0,At-Risk Customers
12468.0,219,2,575.99,321,32,Germany,287.995,160.5,1,Recent Engaged Customers
12471.0,152,26,8811.68,4849,135,Germany,338.91076923076923,186.5,1,Recent Engaged Customers
12472.0,153,7,5146.83,3730,211,Germany,735.2614285714286,532.8571428571429,1,Recent Engaged Customers
12473.0,339,3,2272.53,1824,125,Germany,757.5099999999999,608.0,0,At-Risk Customers
12474.0,4,18,6115.2,4335,236,Germany,339.7333333333333,240.83333333333331,1,Recent Engaged Customers
12475.0,698,1,609.64,330,32,Germany,609.64,330.0,0,At-Risk Customers
12476.0,698,10,3971.13,1869,151,Germany,397.113,186.9,0,At-Risk Customers
12477.0,39,6,8353.94,2446,170,Germany,1392.3233333333335,407.6666666666667,1,Recent Engaged Customers
12478.0,182,1,511.99,229,34,Greece,511.99,229.0,1,Recent Engaged Customers
12479.0,698,1,426.35,377,28,Germany,426.35,377.0,0,At-Risk Customers
12480.0,30,4,2314.64,1302,121,Germany,578.66,325.5,1,Recent Engaged Customers
12481.0,163,10,3445.7,2424,125,Germany,344.57,242.4,1,Recent Engaged Customers
12483.0,36,7,1486.54,806,42,Sweden,212.36285714285717,115.14285714285714,1,Recent Engaged Customers
12484.0,163,4,3394.73,1945,238,Spain,848.6825,486.25,1,Recent Engaged Customers
